configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,shift_right,eligible,,365.998880,365.998880,0.000000
random_forest,baseline,2dfe3cf8-81a2-4320-9e17-2970ec2d9b82.png,shift_up,eligible,,365.998880,365.998880,0.000000
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,contraction,eligible,,205.831489,163.216183,-42.615306
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,expansion,eligible,,205.831489,280.505429,74.673940
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,scale_grow,eligible,,205.831489,239.252786,33.421297
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,scale_shrink,eligible,,205.831489,159.948297,-45.883193
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,shift_down,rejected,shift_cuts_foreground,205.831489,,
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,shift_left,eligible,,205.831489,205.831489,0.000000
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,shift_right,eligible,,205.831489,205.831489,0.000000
random_forest,baseline,300416ff-422c-483b-9bf0-c48b5b69a3bf.png,shift_up,eligible,,205.831489,205.831489,0.000000
random_forest,baseline,30c7b78b-74cc-4b24-a900-94f08c564d8b.png,contraction,rejected,contraction_topology_violation,305.744878,,
random_forest,baseline,30c7b78b-74cc-4b24-a900-94f08c564d8b.png,expansion,rejected,contraction_topology_violation,305.744878,,
random_forest,baseline,30c7b78b-74cc-4b24-a900-94f08c564d8b.png,scale_grow,eligible,,305.744878,353.343130,47.598252
random_forest,baseline,30c7b78b-74cc-4b24-a900-94f08c564d8b.png,scale_shrink,eligible,,305.744878,230.830822,-74.914056
random_forest,baseline,30c7b78b-74cc-4b24-a900-94f08c564d8b.png,shift_down,eligible,,305.744878,305.744878,0.000000
